id;name;gender;birth_year;age;day;condition_day;condition;trial;left;right;side.chosen;side.chosen.reli;repetition;repetition.reason;food.received;food.received.reli;food.remaining;food.remaining.reli;searched;searched.reli;seconds.until.searched;seconds.until.searched.reli;value.remaining.seen;value.remaining.seen.reli;turned.away;turned.away.reli;time.from.last.gaze.to.back.of.head.to.camera;time.from.last.gaze.to.back.of.head.to.camera.reli;emotional.displays;comments;;;;;
1;Bwambale;male;2000;21;5;choice_3;choice;4;none;high;left;;;;none;;high;;yes;;18;;better;;yes;;1;;no;;;;;;
1;Bwambale;male;2000;21;5;choice_3;choice;5;low;high;right;;;;high;;low;;yes;;1;;worse;;yes;;1;;no;;;;;;
1;Bwambale;male;2000;21;5;choice_3;choice;6;none;none;left;;;;none;;none;;yes;;12;;same;;;;4;;no;video cut short;;;;;
1;Bwambale;male;2000;21;7;control_1;control;1;high;high;left;;;;high;;high;;yes;;34;;same;;yes;;2;;no;;;;;;
1;Bwambale;male;2000;21;7;control_1;control;2;none;low;right;;;;low;;none;;yes;;2;;worse;;yes;;1;;no;;;;;;
1;Bwambale;male;2000;21;7;control_1;control;3;high;none;left;;;;high;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;7;control_1;control;4;low;low;left;;;;low;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;7;control_1;control;5;high;none;left;;;;high;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;7;control_1;control;6;none;none;none;;;;none;;none;;no;;NA;;NA;;NA;;NA;;NA;did not choose anything;;;;;
1;Bwambale;male;2000;21;8;control_2;control;1;high;low;left;;;;high;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;8;control_2;control;2;low;none;left;;;;low;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;8;control_2;control;3;none;high;right;;;;high;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;8;control_2;control;4;high;low;left;;;;high;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;8;control_2;control;5;none;low;right;;;;low;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;8;control_2;control;6;low;high;right;;;;high;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;9;control_3;control;1;low;low;left;;;;low;;low;;no;;NA;;NA;;NA;;NA;;NA;not sure about coding for this? video seems to be cut off?;;;;;
1;Bwambale;male;2000;21;9;control_3;control;2;high;high;left;;;;high;;high;;yes;;1;;same;;yes;;1;;no;i tried my best to match it up;;;;;
1;Bwambale;male;2000;21;9;control_3;control;3;low;none;left;;;;low;;none;;yes;;10;;worse;;yes;;2;;no;clean up was a little early;;;;;
1;Bwambale;male;2000;21;9;control_3;control;4;none;high;right;;;;high;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;9;control_3;control;5;low;high;right;;;;high;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;9;control_3;control;6;none;none;none;;;;none;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;2;no-choice_1;no-choice;1;high;high;right;;;;high;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;2;no-choice_1;no-choice;2;none;low;left;;;;none;;low;;yes;;2;;better;;no;;NA;;no;;;;;;
1;Bwambale;male;2000;21;2;no-choice_1;no-choice;3;high;none;left;;;;high;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;2;no-choice_1;no-choice;4;low;low;right;;;;low;;low;;yes;;19;;same;;yes;;1;;no;;;;;;
1;Bwambale;male;2000;21;2;no-choice_1;no-choice;5;high;none;right;;;;none;;high;;yes;;3;;better;;no;;NA;;no;;;;;;
1;Bwambale;male;2000;21;2;no-choice_1;no-choice;6;none;none;right;;;;none;;none;;yes;;1;;same;;yes;;6;;no;;;;;;
1;Bwambale;male;2000;21;4;no-choice_2;no-choice;1;high;low;right;;;;low;;high;;no;;NA;;NA;;NA;;NA;;NA;climbed up, out of vision;;;;;
1;Bwambale;male;2000;21;4;no-choice_2;no-choice;2;low;none;left;;;;low;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;4;no-choice_2;no-choice;3;none;high;right;;;;high;;none;;yes;;4;;worse;;yes;;1;;no;started clean up early;;;;;
1;Bwambale;male;2000;21;4;no-choice_2;no-choice;4;high;low;right;;;;low;;high;;yes;;1;;better;;yes;;1;;no;;;;;;
1;Bwambale;male;2000;21;4;no-choice_2;no-choice;5;none;low;left;;;;none;;low;;yes;;1;;better;;yes;;2;;no;started clean up early;;;;;
1;Bwambale;male;2000;21;4;no-choice_2;no-choice;6;low;high;left;;;;low;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
1;Bwambale;male;2000;21;6;no-choice_3;no-choice;1;low;low;left;;;;low;;low;;yes;;1;;same;;yes;;3;;no;;;;;;
1;Bwambale;male;2000;21;6;no-choice_3;no-choice;2;high;high;right;;;;high;;high;;yes;;1;;same;;yes;;1;;no;;;;;;
